state,code,income,elec
AL,1,45443,1231
AK,2,59489,1012
AZ,4,54299,1148
AR,5,41829,1163
CA,6,66509,842
CO,8,60636,736
CT,9,76268,1030
DE,10,60753,1133
DC,11,66724,604
FL,12,54274,1239
GA,13,55333,1181
HI,15,62595,996
ID,16,46938,850
IL,17,60321,933
IN,18,51552,917
IA,19,47540,959
KS,20,49592,1001
KY,21,46139,903
LA,22,44481,1276
ME,23,45800,947
MD,24,68764,1099
MA,25,67158,784
MI,26,55676,797
MN,27,56363,853
MS,28,41469,1155
MO,29,48007,989
MT,30,42682,800
NE,31,47247,911
NV,32,57807,913
NH,33,61151,1033
NJ,34,74530,1049
NM,35,45112,745
NY,36,62438,974
NC,37,51139,1238
ND,38,43327,951
OH,39,52519,939
OK,40,42903,1031
OR,41,52475,876
PA,42,51764,961
RI,44,56458,725
SC,45,47875,1284
SD,46,43616,973
TN,47,48367,1130
TX,48,54420,1221
UT,49,56185,707
VT,50,50730,946
VA,51,61179,1121
WA,53,58248,920
WV,54,39742,902
WI,55,53618,772
WY,56,46993,773
PR,72,25227,641
